t,r2
1.028000000000000000e+03,9.261350499299769723e-01
1.029000000000000000e+03,9.260951747156479508e-01
1.030000000000000000e+03,9.260551971509802804e-01
1.031000000000000000e+03,9.260150473463765186e-01
1.032000000000000000e+03,9.259747803148827838e-01
1.033000000000000000e+03,9.259343938521258366e-01
1.034000000000000000e+03,9.258939497050217016e-01
1.035000000000000000e+03,9.258533547594154367e-01
1.036000000000000000e+03,9.258125193841090228e-01
1.037000000000000000e+03,9.257717307990532829e-01
1.038000000000000000e+03,9.257307235956208080e-01
1.039000000000000000e+03,9.256895379465077678e-01
1.040000000000000000e+03,9.256481673958780743e-01
1.041000000000000000e+03,9.256066603296639883e-01
1.042000000000000000e+03,9.255649403825566557e-01
1.043000000000000000e+03,9.255231541372364035e-01
1.044000000000000000e+03,9.254810492889614659e-01
1.045000000000000000e+03,9.254386993283952867e-01
1.046000000000000000e+03,9.253962558687826023e-01
1.047000000000000000e+03,9.253535169577251640e-01
1.048000000000000000e+03,9.253107644806151111e-01
1.049000000000000000e+03,9.252678486820240522e-01
1.050000000000000000e+03,9.252247010235020719e-01
1.051000000000000000e+03,9.251813703858549065e-01
1.052000000000000000e+03,9.251377280427017791e-01
1.053000000000000000e+03,9.250939215170922436e-01
1.054000000000000000e+03,9.250498188998467208e-01
1.055000000000000000e+03,9.250055623533413041e-01
1.056000000000000000e+03,9.249611309940801718e-01
1.057000000000000000e+03,9.249163585456262604e-01
1.058000000000000000e+03,9.248714289108783682e-01
1.059000000000000000e+03,9.248263194757915251e-01
1.060000000000000000e+03,9.247811525469228355e-01
1.061000000000000000e+03,9.247357965580208505e-01
1.062000000000000000e+03,9.246901935255564808e-01
1.063000000000000000e+03,9.246444105837564598e-01
1.064000000000000000e+03,9.245984970622903587e-01
1.065000000000000000e+03,9.245523867497359438e-01
1.066000000000000000e+03,9.245060219806784385e-01
1.067000000000000000e+03,9.244595578766072741e-01
1.068000000000000000e+03,9.244129741564496294e-01
1.069000000000000000e+03,9.243661452453548755e-01
1.070000000000000000e+03,9.243193007956994611e-01
1.071000000000000000e+03,9.242722288306741696e-01
1.072000000000000000e+03,9.242249566766358448e-01
1.073000000000000000e+03,9.241775084943339991e-01
1.074000000000000000e+03,9.241300515366221990e-01
1.075000000000000000e+03,9.240824697207006277e-01
1.076000000000000000e+03,9.240348042620468716e-01
1.077000000000000000e+03,9.239867916013771998e-01
1.078000000000000000e+03,9.239389721158187685e-01
1.079000000000000000e+03,9.238909007211904001e-01
1.080000000000000000e+03,9.238427506340536333e-01
1.081000000000000000e+03,9.237942732114515776e-01
1.082000000000000000e+03,9.237458656394917922e-01
1.083000000000000000e+03,9.236970605802029555e-01
1.084000000000000000e+03,9.236481964827620850e-01
1.085000000000000000e+03,9.235991482421563870e-01
