t,r2
1.344000000000000000e+03,9.749857358686738751e-01
1.345000000000000000e+03,9.749534494122187311e-01
1.346000000000000000e+03,9.749209798316834652e-01
1.347000000000000000e+03,9.748884170906323421e-01
1.348000000000000000e+03,9.748558098140799322e-01
1.349000000000000000e+03,9.748230553363925743e-01
1.350000000000000000e+03,9.747901555351390357e-01
1.351000000000000000e+03,9.747570072835107791e-01
1.352000000000000000e+03,9.747237349730913936e-01
1.353000000000000000e+03,9.746902779050524712e-01
1.354000000000000000e+03,9.746566118800126244e-01
1.355000000000000000e+03,9.746227349534211104e-01
1.356000000000000000e+03,9.745887611434487230e-01
1.357000000000000000e+03,9.745546394992196104e-01
1.358000000000000000e+03,9.745203765888279523e-01
1.359000000000000000e+03,9.744859279673184771e-01
1.360000000000000000e+03,9.744513648952224383e-01
1.361000000000000000e+03,9.744165661093004971e-01
1.362000000000000000e+03,9.743816822531992106e-01
1.363000000000000000e+03,9.743465664336885546e-01
1.364000000000000000e+03,9.743112045403720112e-01
1.365000000000000000e+03,9.742757092744154246e-01
1.366000000000000000e+03,9.742400671746107577e-01
1.367000000000000000e+03,9.742042794520756610e-01
1.368000000000000000e+03,9.741682333216118428e-01
1.369000000000000000e+03,9.741321029017653288e-01
1.370000000000000000e+03,9.740957810349186730e-01
1.371000000000000000e+03,9.740592221242250215e-01
1.372000000000000000e+03,9.740225158816865347e-01
1.373000000000000000e+03,9.739857037150039254e-01
1.374000000000000000e+03,9.739485867093607974e-01
1.375000000000000000e+03,9.739113843706505014e-01
1.376000000000000000e+03,9.738740333263893323e-01
1.377000000000000000e+03,9.738364732424751313e-01
1.378000000000000000e+03,9.737986346703441098e-01
1.379000000000000000e+03,9.737606732084498340e-01
1.380000000000000000e+03,9.737224801440147459e-01
1.381000000000000000e+03,9.736841615261697669e-01
1.382000000000000000e+03,9.736456231990875398e-01
1.383000000000000000e+03,9.736068882466388796e-01
1.384000000000000000e+03,9.735680294513711086e-01
1.385000000000000000e+03,9.735290339207784971e-01
1.386000000000000000e+03,9.734898389096008353e-01
1.387000000000000000e+03,9.734505619278893684e-01
1.388000000000000000e+03,9.734111018775104540e-01
1.389000000000000000e+03,9.733714659184177220e-01
1.390000000000000000e+03,9.733315389824683805e-01
1.391000000000000000e+03,9.732915660302930982e-01
1.392000000000000000e+03,9.732514260019202723e-01
1.393000000000000000e+03,9.732111666443972187e-01
1.394000000000000000e+03,9.731707227405871352e-01
1.395000000000000000e+03,9.731300813351480006e-01
1.396000000000000000e+03,9.730894504237679321e-01
1.397000000000000000e+03,9.730487425781042532e-01
1.398000000000000000e+03,9.730078065435188162e-01
1.399000000000000000e+03,9.729667619147452928e-01
1.400000000000000000e+03,9.729257280303872379e-01
1.401000000000000000e+03,9.728845495601027293e-01
1.402000000000000000e+03,9.728432587933077969e-01
1.403000000000000000e+03,9.728018952725295820e-01
1.404000000000000000e+03,9.727604008166857996e-01
1.405000000000000000e+03,9.727187776279215825e-01
1.406000000000000000e+03,9.726772158856140660e-01
1.407000000000000000e+03,9.726354534326598911e-01
1.408000000000000000e+03,9.725935437867816447e-01
1.409000000000000000e+03,9.725516002173864027e-01
1.410000000000000000e+03,9.725095689984339931e-01
1.411000000000000000e+03,9.724674562907578146e-01
1.412000000000000000e+03,9.724252574254453885e-01
1.413000000000000000e+03,9.723829961639545161e-01
1.414000000000000000e+03,9.723405454323735819e-01
1.415000000000000000e+03,9.722980039070998615e-01
1.416000000000000000e+03,9.722553737556166586e-01
1.417000000000000000e+03,9.722126381870941358e-01
1.418000000000000000e+03,9.721698843434933845e-01
1.419000000000000000e+03,9.721269159733999521e-01
1.420000000000000000e+03,9.720837727607283263e-01
1.421000000000000000e+03,9.720405602651509547e-01
1.422000000000000000e+03,9.719972373948767563e-01
1.423000000000000000e+03,9.719537480463852352e-01
1.424000000000000000e+03,9.719100878424847823e-01
1.425000000000000000e+03,9.718663608087311223e-01
1.426000000000000000e+03,9.718225324210929550e-01
1.427000000000000000e+03,9.717785873730145907e-01
1.428000000000000000e+03,9.717344794145970077e-01
1.429000000000000000e+03,9.716902951942536504e-01
1.430000000000000000e+03,9.716459021639866078e-01
1.431000000000000000e+03,9.716014269965002059e-01
1.432000000000000000e+03,9.715566479031930713e-01
1.433000000000000000e+03,9.715117587585276882e-01
1.434000000000000000e+03,9.714666473106027267e-01
1.435000000000000000e+03,9.714214345913854132e-01
1.436000000000000000e+03,9.713760131363720074e-01
1.437000000000000000e+03,9.713303196211287016e-01
1.438000000000000000e+03,9.712843684893652796e-01
1.439000000000000000e+03,9.712381989435213692e-01
1.440000000000000000e+03,9.711917767770673615e-01
1.441000000000000000e+03,9.711450789761724156e-01
1.442000000000000000e+03,9.710980794628246704e-01
1.443000000000000000e+03,9.710507689343745863e-01
1.444000000000000000e+03,9.710032201287117637e-01
1.445000000000000000e+03,9.709553637829964057e-01
1.446000000000000000e+03,9.709070339789658277e-01
1.447000000000000000e+03,9.708584990645063861e-01
1.448000000000000000e+03,9.708094599712070449e-01
1.449000000000000000e+03,9.707600314348300286e-01
1.450000000000000000e+03,9.707101416124328530e-01
1.451000000000000000e+03,9.706598267747874598e-01
1.452000000000000000e+03,9.706090242230863696e-01
1.453000000000000000e+03,9.705577869223191989e-01
1.454000000000000000e+03,9.705061060610661317e-01
1.455000000000000000e+03,9.704538197357479579e-01
1.456000000000000000e+03,9.704010590006179049e-01
1.457000000000000000e+03,9.703477290404101119e-01
1.458000000000000000e+03,9.702936928982233145e-01
1.459000000000000000e+03,9.702390149189490387e-01
1.460000000000000000e+03,9.701835809122969501e-01
1.461000000000000000e+03,9.701274582339531882e-01
1.462000000000000000e+03,9.700705013534383081e-01
1.463000000000000000e+03,9.700126171552100329e-01
1.464000000000000000e+03,9.699536246955443586e-01
1.465000000000000000e+03,9.698935280599991771e-01
1.466000000000000000e+03,9.698322990874899130e-01
1.467000000000000000e+03,9.697697316579392268e-01
1.468000000000000000e+03,9.697058698921278141e-01
1.469000000000000000e+03,9.696402492882302271e-01
1.470000000000000000e+03,9.695728970295844906e-01
1.471000000000000000e+03,9.695036395344197588e-01
1.472000000000000000e+03,9.694320383036435507e-01
1.473000000000000000e+03,9.693578861672692559e-01
1.474000000000000000e+03,9.692808644506470950e-01
1.475000000000000000e+03,9.692005221981480068e-01
1.476000000000000000e+03,9.691163356915980520e-01
1.477000000000000000e+03,9.690275898444793423e-01
1.478000000000000000e+03,9.689335826137951413e-01
1.479000000000000000e+03,9.688333795123574843e-01
1.480000000000000000e+03,9.687262194236333501e-01
1.481000000000000000e+03,9.686111165940557433e-01
1.482000000000000000e+03,9.684868039369819437e-01
1.483000000000000000e+03,9.683526537294336878e-01
1.484000000000000000e+03,9.682080830947581429e-01
1.485000000000000000e+03,9.680537051545490268e-01
1.486000000000000000e+03,9.678902610364032988e-01
1.487000000000000000e+03,9.677190721688012642e-01
1.488000000000000000e+03,9.675419423948392605e-01
1.489000000000000000e+03,9.673604262454024161e-01
1.490000000000000000e+03,9.671756524192415272e-01
1.491000000000000000e+03,9.669891892804935996e-01
1.492000000000000000e+03,9.668024915559669807e-01
1.493000000000000000e+03,9.666163551779552998e-01
1.494000000000000000e+03,9.664312453006110859e-01
1.495000000000000000e+03,9.662473826806782240e-01
1.496000000000000000e+03,9.660649555949198941e-01
1.497000000000000000e+03,9.658838155648453716e-01
1.498000000000000000e+03,9.657043987940459040e-01
1.499000000000000000e+03,9.655263207511769474e-01
1.500000000000000000e+03,9.653494744426136531e-01
1.501000000000000000e+03,9.651740644507634803e-01
1.502000000000000000e+03,9.649997644808762098e-01
1.503000000000000000e+03,9.648265704533122156e-01
1.504000000000000000e+03,9.646546015732628820e-01
1.505000000000000000e+03,9.644839148269169771e-01
1.506000000000000000e+03,9.643142953904392245e-01
1.507000000000000000e+03,9.641458595918476204e-01
1.508000000000000000e+03,9.639785704302605840e-01
1.509000000000000000e+03,9.638122753595471659e-01
1.510000000000000000e+03,9.636469052816154512e-01
1.511000000000000000e+03,9.634823812630625151e-01
1.512000000000000000e+03,9.633187631345292434e-01
1.513000000000000000e+03,9.631559912314550109e-01
1.514000000000000000e+03,9.629940253528724847e-01
1.515000000000000000e+03,9.628330260618611636e-01
1.516000000000000000e+03,9.626729336379717950e-01
1.517000000000000000e+03,9.625135170049619049e-01
1.518000000000000000e+03,9.623548987834145141e-01
1.519000000000000000e+03,9.621971855847588628e-01
1.520000000000000000e+03,9.620401772888610425e-01
1.521000000000000000e+03,9.618838233438459229e-01
1.522000000000000000e+03,9.617281228105895030e-01
1.523000000000000000e+03,9.615730238660127327e-01
1.524000000000000000e+03,9.614184885619670995e-01
1.525000000000000000e+03,9.612643681461776612e-01
1.526000000000000000e+03,9.611107815809140087e-01
1.527000000000000000e+03,9.609576291838197726e-01
1.528000000000000000e+03,9.608050248329867982e-01
1.529000000000000000e+03,9.606529318702590192e-01
1.530000000000000000e+03,9.605013118407933481e-01
1.531000000000000000e+03,9.603501712810273983e-01
1.532000000000000000e+03,9.601992871067284163e-01
1.533000000000000000e+03,9.600489330363146667e-01
1.534000000000000000e+03,9.598989554456960338e-01
1.535000000000000000e+03,9.597492601939072721e-01
1.536000000000000000e+03,9.596000497369714388e-01
1.537000000000000000e+03,9.594510827280389176e-01
1.538000000000000000e+03,9.593025847863633215e-01
1.539000000000000000e+03,9.591545184576125704e-01
1.540000000000000000e+03,9.590066493069994147e-01
1.541000000000000000e+03,9.588593064367195717e-01
1.542000000000000000e+03,9.587122007870958473e-01
1.543000000000000000e+03,9.585653909266181882e-01
1.544000000000000000e+03,9.584187859758630523e-01
1.545000000000000000e+03,9.582723287411831770e-01
1.546000000000000000e+03,9.581263312098692309e-01
1.547000000000000000e+03,9.579806732361931809e-01
1.548000000000000000e+03,9.578353680967245376e-01
1.549000000000000000e+03,9.576901996772280157e-01
1.550000000000000000e+03,9.575454446199872516e-01
1.551000000000000000e+03,9.574009730114024785e-01
1.552000000000000000e+03,9.572568435522890162e-01
1.553000000000000000e+03,9.571131196132093288e-01
1.554000000000000000e+03,9.569696534183237402e-01
1.555000000000000000e+03,9.568266044106719104e-01
1.556000000000000000e+03,9.566838693997676835e-01
1.557000000000000000e+03,9.565416503831445372e-01
1.558000000000000000e+03,9.563998154437596266e-01
1.559000000000000000e+03,9.562583492946372665e-01
1.560000000000000000e+03,9.561171561176271538e-01
1.561000000000000000e+03,9.559762593607794567e-01
1.562000000000000000e+03,9.558356529636851118e-01
1.563000000000000000e+03,9.556952600371003692e-01
1.564000000000000000e+03,9.555549712158541986e-01
1.565000000000000000e+03,9.554149708035836186e-01
1.566000000000000000e+03,9.552751558687542222e-01
1.567000000000000000e+03,9.551355015411904237e-01
1.568000000000000000e+03,9.549960919352690203e-01
1.569000000000000000e+03,9.548566880214384156e-01
1.570000000000000000e+03,9.547175028716294864e-01
1.571000000000000000e+03,9.545783371994864819e-01
1.572000000000000000e+03,9.544393204762749994e-01
1.573000000000000000e+03,9.543004401022500138e-01
1.574000000000000000e+03,9.541617519944487480e-01
1.575000000000000000e+03,9.540232926451935880e-01
1.576000000000000000e+03,9.538849637473897358e-01
1.577000000000000000e+03,9.537469183523852312e-01
1.578000000000000000e+03,9.536091618218411892e-01
1.579000000000000000e+03,9.534716014129447359e-01
1.580000000000000000e+03,9.533341584669035029e-01
1.581000000000000000e+03,9.531968793108348548e-01
1.582000000000000000e+03,9.530599698301535083e-01
1.583000000000000000e+03,9.529232088523647004e-01
1.584000000000000000e+03,9.527866533579628650e-01
1.585000000000000000e+03,9.526503530411223331e-01
1.586000000000000000e+03,9.525141718050001982e-01
1.587000000000000000e+03,9.523781849157932911e-01
1.588000000000000000e+03,9.522423194058451390e-01
1.589000000000000000e+03,9.521066352754731232e-01
1.590000000000000000e+03,9.519711868602820370e-01
1.591000000000000000e+03,9.518359077382406719e-01
1.592000000000000000e+03,9.517009564194258697e-01
1.593000000000000000e+03,9.515661618406988653e-01
1.594000000000000000e+03,9.514316323853921897e-01
1.595000000000000000e+03,9.512970207382912546e-01
1.596000000000000000e+03,9.511627501563547638e-01
1.597000000000000000e+03,9.510287492129994025e-01
1.598000000000000000e+03,9.508949121132648230e-01
1.599000000000000000e+03,9.507611529116634097e-01
1.600000000000000000e+03,9.506277395499662664e-01
1.601000000000000000e+03,9.504945338251720166e-01
1.602000000000000000e+03,9.503614599894628645e-01
1.603000000000000000e+03,9.502284763711696947e-01
1.604000000000000000e+03,9.500956475778047361e-01
1.605000000000000000e+03,9.499631322509574094e-01
1.606000000000000000e+03,9.498307934744590897e-01
1.607000000000000000e+03,9.496986365332596991e-01
1.608000000000000000e+03,9.495667847099470427e-01
1.609000000000000000e+03,9.494351137280750974e-01
1.610000000000000000e+03,9.493035588937696057e-01
1.611000000000000000e+03,9.491722383351834935e-01
1.612000000000000000e+03,9.490411777426825957e-01
1.613000000000000000e+03,9.489102121663318679e-01
1.614000000000000000e+03,9.487794736732287904e-01
1.615000000000000000e+03,9.486488153305211446e-01
1.616000000000000000e+03,9.485182157961780103e-01
1.617000000000000000e+03,9.483878617398758815e-01
